Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time,Protein_to_Carbs_ratio,Carbs_to_Fat_ratio
paleo,"Pad Thai Recipe (Grain-Free, Paleo, Gluten Free)",south east asian,496.2,2023.05,211.1,10/16/2022,17:24:00,0.245,9.583
paleo,Sausage Stuffed Sweet Potatoes,central europe,11.33,29.24,15.9,10/16/2022,17:24:00,0.387,1.839
paleo,"Mini Applesauce Carrot Cake Muffins (Gluten-Free, Paleo) recipes",british,37.99,118.13,102.82,10/16/2022,17:24:00,0.322,1.149
paleo,Grilled Gochujang Pork Chops with Watermelon Mint Salad recipes,american,171.73,52.28,107.51,10/16/2022,17:24:00,3.285,0.486
paleo,"Asian Southwest Fusion EASY Kimchi Recipe (Paleo, Vegan Friendly) recipes",american,18.18,90.26,1.62,10/16/2022,17:24:00,0.201,55.716
paleo,Blueberry French Toast Casserole,french,74.19,289.85,81.62,10/16/2022,17:24:00,0.256,3.551
paleo,Tortilla Soup Recipe,mexican,274.38,240.62,219.7,10/16/2022,17:24:00,1.14,1.095
paleo,Basil and Sun-Dried Tomato Compound Butter,american,2.41,5.63,92.42,10/16/2022,17:24:00,0.428,0.061
paleo,Green Beans with Scrambled Eggs and Sausages recipes,american,46.37,12.17,56.94,10/16/2022,17:24:00,3.81,0.214
paleo,Balsamic mustard salad dressing,american,1.67,38.66,82.05,10/16/2022,17:24:00,0.043,0.471
paleo,Curry-Infused Deviled Duck Eggs,mexican,161.98,20.54,307.48,10/16/2022,17:24:00,7.886,0.067
paleo,Air Fryer Recipes (131 Style),italian,6.02,19.0,18.58,10/16/2022,17:24:06,0.317,1.023
paleo,"Whole30 Shepherd's Pie (Paleo, GF) recipes",american,123.49,333.49,133.61,10/16/2022,17:24:06,0.37,2.496
paleo,Prosciutto Wrapped Pork Tenderloin,american,189.23,75.63,35.1,10/16/2022,17:24:06,2.502,2.155
paleo,Tuna Salad recipes,american,56.28,5.32,47.74,10/16/2022,17:24:06,10.579,0.111
paleo,Paleo Chicken Bacon Strawberry Salad with Orange Balsamic recipes,british,140.43,80.35,297.8,10/16/2022,17:24:06,1.748,0.27
paleo,Easy 3-Ingredient Homemade Chocolate Peanut Butter Cups recipes,italian,52.06,181.35,205.06,10/16/2022,17:24:06,0.287,0.884
paleo,Chicken Pesto Discs recipes,italian,89.94,54.81,119.82,10/16/2022,17:24:06,1.641,0.457
paleo,Egg Roll Bowls,italian,109.12,94.35,95.42,10/16/2022,17:24:06,1.157,0.989
paleo,"Broccoli, Feta, and Sausage Frittata",mediterranean,133.75,39.86,157.09,10/16/2022,17:24:06,3.355,0.254
paleo,Kiwi Apple Cider,american,8.53,210.51,9.79,10/16/2022,17:24:06,0.041,21.503
paleo,Marla Sarris recipes,italian,97.03,203.4,62.14,10/16/2022,17:24:06,0.477,3.273
paleo,Elvis Style Loaded Sweet Potato,south american,12.26,45.88,30.15,10/16/2022,17:24:06,0.267,1.522
paleo,Cranberry Coconut Macaroons,american,21.11,155.62,225.04,10/16/2022,17:24:06,0.136,0.692
paleo,No-Bake Energy Bars with Chocolate and Turmeric,american,33.66,81.57,148.1,10/16/2022,17:24:06,0.413,0.551
paleo,Butternut Squash Instant Pot Chili,american,13.0,107.78,15.66,10/16/2022,17:24:06,0.121,6.883
paleo,Turkey Taco Balls,american,83.4,29.79,24.43,10/16/2022,17:24:06,2.8,1.219
paleo,3-Ingredient Crunchy Strawberry Ice-Cream recipes,american,17.65,293.51,94.4,10/16/2022,17:24:13,0.06,3.109
paleo,No-Bake Vegan Key-Lime Mini Cheesecakes,american,83.81,336.47,357.93,10/16/2022,17:24:13,0.249,0.94
paleo,Turkey Soup,american,1142.58,693.64,287.86,10/16/2022,17:24:13,1.647,2.41
paleo,Low Carb Fried Ice Cream,italian,22.62,127.17,104.56,10/16/2022,17:24:13,0.178,1.216
paleo,Smoked Beef Brisket recipes,south american,245.48,17.89,340.43,10/16/2022,17:24:13,13.722,0.053
paleo,Cauliflower Hash Browns Who Knew?,french,24.46,27.76,27.96,10/16/2022,17:24:13,0.881,0.993
paleo,"Balsamic Apple Walnut Salad {GF, Low Cal} recipes",american,7.26,35.93,11.89,10/16/2022,17:24:13,0.202,3.022
paleo,Cauliflower Bread,british,75.17,48.1,183.37,10/16/2022,17:24:13,1.563,0.262
paleo,"Grilled Chicken Pesto Pizza (grain-free, egg-free, nightshade-free) recipes",italian,88.13,161.76,115.41,10/16/2022,17:24:13,0.545,1.402
paleo,Spiralized Cucumber Salad Recipe with Chia Seed Strawberry Vinaigrette {Vegan + Paleo} recipes,american,12.17,97.45,76.12,10/16/2022,17:24:13,0.125,1.28
paleo,"Easy Vegan White Cake with Chocolate Coconut Frosting {Gluten Free, Paleo Friendly} recipes",american,75.26,371.75,313.13,10/16/2022,17:24:13,0.202,1.187
paleo,BBQ Chicken Sweet Potato Pizza,italian,112.99,285.71,98.15,10/16/2022,17:24:13,0.395,2.911
paleo,Creamy Bacon Beet Salad recipes,american,13.37,37.94,68.16,10/16/2022,17:24:13,0.352,0.557
paleo,Walnut Pesto recipes,italian,31.36,15.7,39.44,10/16/2022,17:24:13,1.997,0.398
paleo,Baked Ranch Chicken Tenders recipes,american,105.57,129.65,146.59,10/16/2022,17:24:13,0.814,0.884
paleo,Blueberry French Toast Casserole recipes,french,72.14,306.66,36.59,10/16/2022,17:24:20,0.235,8.381
paleo,Low Carb Bulgogi Ground Beef Bowl recipes,british,146.61,79.92,50.85,10/16/2022,17:24:20,1.834,1.572
paleo,Kale Pesto recipes,italian,69.78,25.2,204.3,10/16/2022,17:24:20,2.769,0.123
paleo,Chicken Avocado Burgers,nordic,97.13,35.1,101.67,10/16/2022,17:24:20,2.767,0.345
paleo,"Green Chile Turkey Taco Salad with Peppers and Avocado (Paleo, Low-Carb, Gluten Free) recipes",american,170.68,144.12,180.71,10/16/2022,17:24:20,1.184,0.798
paleo,INSTANT POT CHICKEN MARINARA,italian,194.67,26.26,91.92,10/16/2022,17:24:20,7.413,0.286
paleo,Blueberries and Cream Truffles recipes,american,22.64,205.97,170.65,10/16/2022,17:24:20,0.11,1.207
paleo,Classic Egg Salad,american,34.18,10.4,69.54,10/16/2022,17:24:20,3.287,0.15
paleo,Cucumber Tuna Cups,mediterranean,25.78,17.19,40.92,10/16/2022,17:24:20,1.5,0.42
paleo,Cauliflower Fried Rice recipes,chinese,150.64,79.08,369.91,10/16/2022,17:24:20,1.905,0.214
paleo,Sauteed Leek with Bacon recipes,french,11.61,39.2,41.13,10/16/2022,17:24:20,0.296,0.953
paleo,Roast a Whole Cauliflower recipes,american,12.34,39.51,16.73,10/16/2022,17:24:20,0.312,2.362
paleo,Dark Chocolate Cashew Butter Candy,french,42.76,169.71,181.61,10/16/2022,17:24:20,0.252,0.934
paleo,Maple Frosted Almond Butter Blondies recipes,american,70.14,355.31,243.28,10/16/2022,17:24:20,0.197,1.46
paleo,Honey Lime Shrimp recipes,american,92.31,26.34,2.46,10/16/2022,17:24:20,3.505,10.707
paleo,Grilled Salmon Cobb Salad {Whole 30} recipes,nordic,60.01,22.5,112.86,10/16/2022,17:24:20,2.667,0.199
paleo,Tuna-Stuffed Eggs recipes,italian,52.87,4.1,29.95,10/16/2022,17:24:26,12.895,0.137
paleo,Chocolate Caramel Chia Pudding,british,145.04,1545.27,177.4,10/16/2022,17:24:26,0.094,8.711
paleo,Old Fashioned Deviled Eggs,american,60.92,6.01,118.36,10/16/2022,17:24:26,10.136,0.051
paleo,INSTANT POT CHICKEN CACCIATORE,italian,242.04,87.12,190.75,10/16/2022,17:24:26,2.778,0.457
paleo,Paleo Tortillas,french,39.65,23.86,56.1,10/16/2022,17:24:26,1.662,0.425
paleo,Marla Sarris recipes,american,250.91,134.81,185.31,10/16/2022,17:24:26,1.861,0.727
paleo,One Pot Bacon Braised Lamb Stew {Grain Fre,french,147.55,133.02,214.67,10/16/2022,17:24:26,1.109,0.62
paleo,Strawberry Lime Granita,italian,4.45,56.47,1.76,10/16/2022,17:24:26,0.079,32.085
paleo,Oven Poached Salmon with Cherry Tomatoes a,nordic,103.94,25.78,75.84,10/16/2022,17:24:26,4.032,0.34
paleo,Barbecue Chicken Pizza recipes,italian,91.36,208.4,50.82,10/16/2022,17:24:26,0.438,4.101
paleo,Hamburger Steaks With Stroganoff Gravy,eastern europe,104.61,60.01,231.37,10/16/2022,17:24:26,1.743,0.259
paleo,Traditional German Rotkohl (Sweet/Sour Red Cabbage) recipes,central europe,13.91,131.15,48.71,10/16/2022,17:24:26,0.106,2.692
paleo,Chocolate and Toasted Coconut Butter Pudding recipes,british,15.67,41.91,94.91,10/16/2022,17:24:33,0.374,0.442
paleo,Taco Stuffed Avocado Cups,mexican,103.22,54.18,123.51,10/16/2022,17:24:33,1.905,0.439
paleo,Crab Stuffed Shrimp Recipe,mediterranean,122.29,4.81,31.9,10/16/2022,17:24:33,25.424,0.151
paleo,Basic Balsamic Steak Marinade recipes,american,97.52,21.4,145.98,10/16/2022,17:24:33,4.557,0.147
paleo,Slow Cooker Red-Cooked Chicken,chinese,257.78,119.4,274.45,10/16/2022,17:24:33,2.159,0.435
paleo,Easy Garlic and Rosemary Roast Beef recipes,mediterranean,316.98,3.68,246.05,10/16/2022,17:24:33,86.136,0.015
paleo,Paleo chocolate,american,8.66,77.46,114.72,10/16/2022,17:24:33,0.112,0.675
paleo,Honey Garlic Ribs,american,410.45,209.84,349.93,10/16/2022,17:24:33,1.956,0.6
paleo,Paleo and Vegan Pumpkin and Fig Bread Pudding. Plus Why We Might Need Carbs During Fall Season recipes,british,15.17,104.57,12.73,10/16/2022,17:24:33,0.145,8.214
paleo,Cauliflower Potato Salad,american,39.1,51.14,65.66,10/16/2022,17:24:33,0.765,0.779
paleo,SPIRALIZED SWEET POTATO FRIES recipes,south american,3.35,37.48,131.84,10/16/2022,17:24:33,0.089,0.284
paleo,Healthy Chocolate Truffles recipes,french,19.39,113.88,103.46,10/16/2022,17:24:33,0.17,1.101
paleo,Paleo Crepes,french,29.26,9.68,63.3,10/16/2022,17:24:40,3.023,0.153
paleo,Chocolate-Nut Fudge recipes,american,42.37,280.53,224.06,10/16/2022,17:24:40,0.151,1.252
paleo,Healthy Vegan Green Bean Casserole recipes,american,20.36,104.02,17.13,10/16/2022,17:24:40,0.196,6.072
paleo,Vegan Ranch Dressing,american,17.1,26.49,77.37,10/16/2022,17:24:40,0.646,0.342
paleo,"Chicken Sausage, Mashed Potatoes, and Baby Broccoli recipes",american,63.18,146.69,32.84,10/16/2022,17:24:40,0.431,4.467
paleo,Oven-Baked Sloppy Joes,american,405.14,202.29,455.75,10/16/2022,17:24:40,2.003,0.444
paleo,Oven-Baked Parmesan Green Bean Fries,italian,67.07,37.59,43.58,10/16/2022,17:24:40,1.784,0.863
paleo,Paleo Spaghetti,italian,113.5,84.51,32.34,10/16/2022,17:24:40,1.343,2.613
paleo,Chocolate Drizzled Pumpkin Donuts,american,22.76,128.52,30.38,10/16/2022,17:24:40,0.177,4.23
paleo,Chinese Beef and Broccoli recipes,chinese,120.87,99.95,62.06,10/16/2022,17:24:40,1.209,1.611
paleo,Pumpkin Pie Chia Seed Pudding recipes,british,5.44,33.63,7.98,10/16/2022,17:24:40,0.162,4.214
paleo,Paleo Spaghetti,italian,91.7,90.28,103.95,10/16/2022,17:24:46,1.016,0.868
paleo,Easy Primal Mini Tortilla Pizzas recipes,italian,56.6,119.61,63.87,10/16/2022,17:24:46,0.473,1.873
paleo,Easy Chicken Salad recipes,american,238.58,46.12,164.79,10/16/2022,17:24:46,5.173,0.28
paleo,Cottage Pie,american,231.51,92.06,376.33,10/16/2022,17:24:46,2.515,0.245
paleo,Sweet Potato Salad,south american,11.35,83.85,73.27,10/16/2022,17:24:46,0.135,1.144
paleo,Paleo Potatoes,italian,9.41,66.8,1.0,10/16/2022,17:24:46,0.141,66.8
paleo,No-Bake Chocolate Almond Butter Truffles,american,50.47,168.54,206.65,10/16/2022,17:24:46,0.299,0.816
paleo,Paleo Coleslaw,mediterranean,1.67,7.27,13.2,10/16/2022,17:24:46,0.23,0.551
paleo,Paleo Grits,american,51.81,70.43,65.92,10/16/2022,17:24:53,0.736,1.068
paleo,Grilled Vegetables with Lemon Thyme Butter recipes,american,4.51,15.99,147.84,10/16/2022,17:24:53,0.282,0.108
paleo,Paleo Hummus,mediterranean,12.42,150.94,168.87,10/16/2022,17:24:53,0.082,0.894
paleo,Paleo Spaghetti,italian,101.28,128.97,96.98,10/16/2022,17:24:53,0.785,1.33
paleo,Garlic Butter Rainbow Trout in Foil,american,91.25,3.47,53.62,10/16/2022,17:24:53,26.297,0.065
paleo,Paleo Jello,mediterranean,13.93,33.12,0.96,10/16/2022,17:24:53,0.421,34.5
paleo,Chocolate Covered Stuffed Dates recipes,american,32.88,429.73,154.5,10/16/2022,17:24:53,0.077,2.781
paleo,Paleo Fruitcake,american,82.45,271.48,204.91,10/16/2022,17:24:53,0.304,1.325
paleo,Paleo Pest,french,2.88,5.79,218.98,10/16/2022,17:24:53,0.497,0.026
paleo,I Can't Believe It's Not Processed! Caramel Fondant recipes,mediterranean,36.25,169.58,127.08,10/16/2022,17:25:00,0.214,1.334
paleo,Sweet and Spicy Asian-Style Eggplant recipes,south east asian,28.05,135.94,33.77,10/16/2022,17:25:00,0.206,4.025
paleo,"Aunt Rocky’s Onion Pie in Biscuit Crust (Low Carb, Gluten Free)",american,72.94,95.74,162.6,10/16/2022,17:25:00,0.762,0.589
paleo,What Mom Never Told You About Ambrosia Salad recipes,american,21.27,131.23,47.57,10/16/2022,17:25:00,0.162,2.759
paleo,"Bacon, Grape and Broccoli Salad",american,97.12,171.09,379.33,10/16/2022,17:25:00,0.568,0.451
paleo,Tropical Chicken Burger,american,130.68,53.89,75.11,10/16/2022,17:25:00,2.425,0.717
paleo,Paleo Tzatziki,mediterranean,2.82,17.07,0.57,10/16/2022,17:25:00,0.165,29.947
paleo,Paleo Wraps,american,11.53,43.67,9.96,10/16/2022,17:25:00,0.264,4.385
paleo,Paleo Hash,french,113.32,65.91,136.92,10/16/2022,17:25:00,1.719,0.481
paleo,Carolina BBQ Meatballs (Low Carb & Glu,american,92.06,28.05,117.08,10/16/2022,17:25:00,3.282,0.24
paleo,Paleo Gingersnaps,british,58.26,120.44,143.2,10/16/2022,17:25:00,0.484,0.841
paleo,Paleo Hummus,mediterranean,21.58,35.21,66.94,10/16/2022,17:25:00,0.613,0.526
paleo,"Aunt Rocky’s Keto Hot Cocoa Mix (Sugar Free, Dairy Free, Low Carb)",american,37.91,165.84,34.48,10/16/2022,17:25:00,0.229,4.81
paleo,Paleo Chili,american,198.76,170.02,202.56,10/16/2022,17:25:07,1.169,0.839
paleo,Creamy Cauliflower and Ground Beef Skillet,british,123.76,54.27,293.3,10/16/2022,17:25:07,2.28,0.185
paleo,Flaky Sriracha Cod over Parsnip Carrot Mas,american,9.26,42.6,176.28,10/16/2022,17:25:07,0.217,0.242
paleo,"Addicting Paleo Cashew Hummus (Paleo, low",mediterranean,112.95,191.68,494.13,10/16/2022,17:25:07,0.589,0.388
paleo,One Pot Bacon Braised Lamb Stew {Grain Free} recipes,french,147.55,133.02,214.67,10/16/2022,17:25:07,1.109,0.62
paleo,paleo pastelon,italian,127.96,257.63,103.37,10/16/2022,17:25:07,0.497,2.492
paleo,Paleo Spaghetti,italian,113.5,84.51,32.34,10/16/2022,17:25:07,1.343,2.613
paleo,Paleo Crumble,eastern europe,42.08,149.03,122.62,10/16/2022,17:25:07,0.282,1.215
paleo,Delectable Spinach Zucchini Bites for an Easy Party Snack recipes,italian,38.14,65.53,18.64,10/16/2022,17:25:07,0.582,3.516
paleo,Paleo Chili,american,95.78,97.82,97.17,10/16/2022,17:25:07,0.979,1.007
paleo,Paleo Frittata,italian,173.78,134.07,268.58,10/16/2022,17:25:07,1.296,0.499
paleo,Paleo Pita,mediterranean,5.69,101.64,31.13,10/16/2022,17:25:13,0.056,3.265
paleo,Paleo Pesto,italian,17.38,19.31,139.44,10/16/2022,17:25:13,0.9,0.138
paleo,Paleo Stew,american,114.49,53.93,116.2,10/16/2022,17:25:13,2.123,0.464
paleo,Easy Oven Barbecue Chicken recipes,american,55.0,342.7,63.1,10/16/2022,17:25:13,0.16,5.431
paleo,paleo meatballs,american,85.79,12.51,115.51,10/16/2022,17:25:13,6.858,0.108
paleo,Dinner: Chicken Avocado Burgers,nordic,92.88,31.09,92.32,10/16/2022,17:25:13,2.987,0.337
paleo,Banana Cream Pie,american,23.83,210.58,308.61,10/16/2022,17:25:13,0.113,0.682
paleo,Paleo Shakshouka,american,63.65,201.73,36.63,10/16/2022,17:25:13,0.316,5.507
paleo,Pan-Roasted Cashew Broccoli recipes,british,35.44,69.35,30.46,10/16/2022,17:25:13,0.511,2.277
paleo,"5-Ingredient Roasted Tomato Soup (Low Carb, Gluten-free) recipes",eastern europe,7.68,30.35,36.87,10/16/2022,17:25:13,0.253,0.823
paleo,Mini Hasselback Potatoes with Roasted Garlic,american,47.23,272.38,38.35,10/16/2022,17:25:13,0.173,7.102
paleo,Spanish Salad Dressing,mediterranean,1.87,61.46,162.33,10/16/2022,17:25:20,0.03,0.379
paleo,Quick And Creamy Chicken Stew recipes,italian,263.77,112.8,309.92,10/16/2022,17:25:20,2.338,0.364
paleo,Roasted Cauliflower Chowder recipes,american,44.63,111.23,150.27,10/16/2022,17:25:20,0.401,0.74
paleo,Paleo Ketchup,italian,15.8,181.21,4.77,10/16/2022,17:25:20,0.087,37.99
paleo,Hearty Chicken Salad recipes,american,144.26,16.24,127.63,10/16/2022,17:25:20,8.883,0.127
paleo,Homemade Apple Cider,american,6.37,400.39,3.96,10/16/2022,17:25:20,0.016,101.109
paleo,Paleo Dressing,american,22.74,68.54,127.93,10/16/2022,17:25:20,0.332,0.536
paleo,Paleo Salsa,mexican,15.03,79.9,3.0,10/16/2022,17:25:20,0.188,26.633
paleo,Paleo Jerky,american,251.76,38.75,139.7,10/16/2022,17:25:20,6.497,0.277
paleo,Paleo Blondies,american,109.85,1343.97,1869.58,10/16/2022,17:25:20,0.082,0.719
paleo,Paleo Spaghetti,italian,98.63,65.37,65.28,10/16/2022,17:25:20,1.509,1.001
paleo,Buffalo Chicken Casserole,american,193.01,74.42,327.15,10/16/2022,17:25:20,2.594,0.227
paleo,Paleo Paella,mediterranean,228.68,66.4,163.41,10/16/2022,17:25:27,3.444,0.406
paleo,Citrus Basil Mojito Pops,caribbean,2.65,44.27,0.75,10/16/2022,17:25:27,0.06,59.027
paleo,Chili Lime Cream Grilled Chicken recipes,american,310.17,22.85,129.07,10/16/2022,17:25:27,13.574,0.177
paleo,Paleo Calamari,italian,37.6,30.65,877.4,10/16/2022,17:25:27,1.227,0.035
paleo,"Creamy Balsamic Salad Dressing - Easy, Creamy and Real recipes",mediterranean,0.1,2.12,44.59,10/16/2022,17:25:27,0.047,0.048
paleo,Waldorf Salad recipes,american,46.42,75.17,187.33,10/16/2022,17:25:27,0.618,0.401
paleo,Orange Chocolate Pudding,british,33.68,195.5,155.13,10/16/2022,17:25:27,0.172,1.26
paleo,Garlic Mashed Sweet Potatoes With Spinach recipes,american,25.05,200.19,30.7,10/16/2022,17:25:27,0.125,6.521
paleo,Fruit Salsa,mexican,7.67,124.25,2.88,10/16/2022,17:25:27,0.062,43.142
paleo,Thai Red Curry,south east asian,110.25,128.45,106.7,10/16/2022,17:25:27,0.858,1.204
paleo,Low Carb Cauliflower Potato Salad recipes,american,26.18,74.5,62.8,10/16/2022,17:25:27,0.351,1.186
paleo,Paleo Chili,american,305.91,139.01,356.15,10/16/2022,17:25:27,2.201,0.39
paleo,Golden Paleo Muffins – Gluten-Free/Paleo/Vegetarian,american,32.46,254.97,51.28,10/16/2022,17:25:27,0.127,4.972
paleo,Creamy Shaved Brussels Sprouts and Apple Salad recipes,italian,27.78,119.44,158.77,10/16/2022,17:25:33,0.233,0.752
paleo,Whole30 Tuna Salad,american,29.18,38.85,17.77,10/16/2022,17:25:33,0.751,2.186
paleo,Paleo Lasagna,italian,199.07,166.7,292.21,10/16/2022,17:25:33,1.194,0.57
paleo,Low Carb Cauliflower Potato Salad,american,34.18,36.49,119.11,10/16/2022,17:25:33,0.937,0.306
paleo,Creamy Balsamic Dressing Recipe,italian,2.05,14.4,130.22,10/16/2022,17:25:33,0.142,0.111
paleo,Beef Stir-fry with Snow Peas and Mushrooms recipes,chinese,117.89,113.86,57.65,10/16/2022,17:25:33,1.035,1.975
paleo,Baked Sesame Ginger Chicken recipes,chinese,356.6,31.62,198.75,10/16/2022,17:25:33,11.278,0.159
paleo,Genoise-Style Paleo Tiramisu ~ The Paleo Mom,italian,25.73,158.9,188.95,10/16/2022,17:25:33,0.162,0.841
paleo,Sweet Potato Tater Tots,american,16.02,205.34,117.83,10/16/2022,17:25:33,0.078,1.743
paleo,Paleo Middle Eastern Meatballs (Paleo Kibbeh) recipes,middle eastern,102.17,18.57,49.56,10/16/2022,17:25:33,5.502,0.375
paleo,Orange Dressing/Vinaigrette,mediterranean,8.69,163.48,574.6,10/16/2022,17:25:33,0.053,0.285
paleo,"Low Carb Nut Free English Muffins (Grain Free, Gluten Free)",british,33.89,22.3,121.33,10/16/2022,17:25:33,1.52,0.184
paleo,Beef Stir-fry with Snow Peas and Mushrooms,british,12.1,45.68,1.06,10/16/2022,17:25:33,0.265,43.094
paleo,Raw Vegan Collard Wraps,american,22.88,56.46,107.24,10/16/2022,17:25:40,0.405,0.526
paleo,Chicken Avocado Burgers recipes,nordic,93.27,33.54,92.44,10/16/2022,17:25:40,2.781,0.363
paleo,Creamy Whole30 Avocado Tuna Boats,mediterranean,41.82,57.75,94.29,10/16/2022,17:25:40,0.724,0.612
paleo,Sweet and Sticky Mango Chutney Chicken,indian,256.98,93.99,261.35,10/16/2022,17:25:40,2.734,0.36
paleo,Barbecue Chicken Pizza-ii,italian,91.36,208.4,50.82,10/16/2022,17:25:40,0.438,4.101
paleo,The Paleo Pasty,eastern europe,99.39,192.8,125.8,10/16/2022,17:25:40,0.516,1.533
paleo,Peanut Butter Chocolate Chunk Blondies recipes,american,68.82,231.05,229.81,10/16/2022,17:25:40,0.298,1.005
paleo,Green Goddess Turkey Burgers recipes,american,138.81,4.66,98.06,10/16/2022,17:25:40,29.788,0.048
paleo,Cassava Flour Chocolate Mayonnaise Cake,american,11.04,422.58,237.46,10/16/2022,17:25:40,0.026,1.78
paleo,Paleo Pizza with a Paleo Pizza Crust recipes,italian,105.31,114.29,180.78,10/16/2022,17:25:40,0.921,0.632
paleo,Shoyu Ahi Poke recipes,japanese,111.82,11.58,6.85,10/16/2022,17:25:40,9.656,1.691
paleo,Dairy-free Chunky Ice Cream,american,18.19,175.0,123.11,10/16/2022,17:25:40,0.104,1.421
paleo,Honey Mustard Salmon,nordic,27.68,63.22,418.12,10/16/2022,17:25:40,0.438,0.151
paleo,Five C Spiced Salmon recipes,nordic,324.33,4.57,270.7,10/16/2022,17:25:40,70.969,0.017
paleo,Dark & Stormy Date Caramels,french,34.02,119.1,137.32,10/16/2022,17:25:40,0.286,0.867
paleo,Keto Fried Fish,south east asian,110.93,20.28,53.53,10/16/2022,17:25:40,5.47,0.379
paleo,Paleo Salmon Cakes,nordic,110.13,12.03,50.63,10/16/2022,17:25:47,9.155,0.238
paleo,Broccoli and bacon salad,american,66.61,142.18,186.51,10/16/2022,17:25:47,0.468,0.762
paleo,Ground Beef Skillet with Pesto and Greens (Low-FODMAP),british,89.94,10.84,58.45,10/16/2022,17:25:47,8.297,0.185
paleo,Sweet and Spicy Asian-style Eggplant,south east asian,28.24,153.01,34.26,10/16/2022,17:25:47,0.185,4.466
paleo,French Onion Dip recipes,american,15.14,44.77,303.62,10/16/2022,17:25:47,0.338,0.147
paleo,Berry Chocolate (Antioxidant) Heaven,american,29.87,352.58,92.19,10/16/2022,17:25:47,0.085,3.824
paleo,Chocolate Ice Cream - That's Dairy AND (Added) Sugar Free,american,17.09,98.33,27.65,10/16/2022,17:25:47,0.174,3.556
paleo,Chocolate Tiramisu (Grain-Free) recipes,italian,44.35,370.33,265.2,10/16/2022,17:25:47,0.12,1.396
paleo,"Strawberry (Heart Berry) Sponge Cake with Swiss Meringue and Coconut Cream (Grain Free, Dairy Free) recipes",british,73.61,215.65,194.58,10/16/2022,17:25:47,0.341,1.108
paleo,CHORIZO BURGER WITH CUCUMBER SLAW recipes,mediterranean,146.06,23.64,205.89,10/16/2022,17:25:47,6.179,0.115
paleo,Paleo Steak and Kidney Pie ~ The Paleo Mom,american,398.01,82.5,282.32,10/16/2022,17:25:47,4.824,0.292
paleo,Paleo Pizza Crust,italian,34.22,27.58,82.33,10/16/2022,17:25:47,1.241,0.335
paleo,Salisbury Steak Meatballs,british,145.56,62.05,169.76,10/16/2022,17:25:47,2.346,0.366
paleo,Paleo Graham Crackers,american,37.62,65.86,83.96,10/16/2022,17:25:47,0.571,0.784
paleo,Pecan and Apple Stuffed Acorn Squash recipes,american,14.02,89.14,100.92,10/16/2022,17:25:54,0.157,0.883
paleo,"Chicken Salad With Grapes, Apples And Cranberries recipe recipes",american,101.36,118.91,252.23,10/16/2022,17:25:54,0.852,0.471
paleo,Paleo Persimmon Pie,american,38.48,518.49,227.16,10/16/2022,17:25:54,0.074,2.282
paleo,Paleo Stir Fry,american,24.43,22.43,8.06,10/16/2022,17:25:54,1.089,2.783
paleo,Keto Strawberry Ice Cream,american,29.56,52.43,291.93,10/16/2022,17:25:54,0.564,0.18
paleo,Paleo Lemon Tarts,french,38.77,126.1,64.78,10/16/2022,17:25:54,0.307,1.947
paleo,Chocolate Chia Seed Pudding,british,13.65,68.33,92.25,10/16/2022,17:25:54,0.2,0.741
paleo,Braised Cube Steak with Onion Gravy (AIP) recipes,american,22.12,875.89,54.93,10/16/2022,17:25:54,0.025,15.946
paleo,No Bake Almond Butter Bars (Low Carb and Gluten Free) recipes,american,92.22,286.7,321.2,10/16/2022,17:25:54,0.322,0.893
paleo,Paleo Lunch “Buns,italian,5.04,227.0,1.45,10/16/2022,17:25:54,0.022,156.552
paleo,Parmesan Herb Chicken (Grain Free and Low Carb) recipes,italian,166.91,3.84,72.13,10/16/2022,17:25:54,43.466,0.053
paleo,Blueberry Crumble (Gluten-free & Sugar-free) recipes,american,60.03,135.78,188.85,10/16/2022,17:25:54,0.442,0.719
paleo,Roasted Garlic Mashed Potatoes recipes,american,25.2,63.62,10.39,10/16/2022,17:25:54,0.396,6.123
paleo,Healthy Coconut Meringue Parfait recipes,french,63.04,161.99,13.34,10/16/2022,17:25:54,0.389,12.143
paleo,Keto Waldorf Salad,american,6.74,27.28,63.62,10/16/2022,17:25:54,0.247,0.429
paleo,Grilled Asian Style Wild Alaskan Black Cod recipes,japanese,44.95,39.22,6.89,10/16/2022,17:26:00,1.146,5.692
paleo,Korean Beef Cauliflower Rice Bowls,mediterranean,190.89,158.68,234.05,10/16/2022,17:26:00,1.203,0.678
paleo,Paleo Zucchini Spaghetti,italian,4.74,12.19,14.75,10/16/2022,17:26:00,0.389,0.826
paleo,Chicken Jicama Slaw,mexican,112.36,32.53,118.16,10/16/2022,17:26:00,3.454,0.275
paleo,Paleo Acorn Squash,french,3.57,68.92,11.95,10/16/2022,17:26:00,0.052,5.767
paleo,Paleo Coffee Creamer,french,19.37,14.12,98.57,10/16/2022,17:26:00,1.372,0.143
paleo,"Paleo chocolate barks, a.k.a. Paleo turr&o",american,23.75,84.18,191.43,10/16/2022,17:26:00,0.282,0.44
paleo,Paleo Flour Tortillas (AIP-friendly!) ~ The Paleo Mom,mexican,0.0,150.22,81.0,10/16/2022,17:26:00,0.0,1.855
paleo,Paleo Carrot Cake,british,130.64,371.78,327.27,10/16/2022,17:26:00,0.351,1.136
